rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.3390/app16063051,An Investigation into Uncertainty Quantification of Shallow Foundation Failure Mechanisms in Horizontally Stratified Layered Soil Strata,2026,Applied Sciences,https://doi.org/10.3390/app16063051,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
2,arxiv:2602.03973v1,VLS: Steering Pretrained Robot Policies via Vision-Language Models,2026,arXiv,http://arxiv.org/abs/2602.03973v1,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.3390/s26103140,Uncertainty-Calibrated Safety Gating for Vision–Language– Action Manipulation Under Domain Shift: Reliability Gains and Intervention–Efficiency Trade-Offs,2026,Sensors,https://doi.org/10.3390/s26103140,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
4,arxiv:2112.05299v1,Zero-Shot Uncertainty-Aware Deployment of Simulation Trained Policies on Real-World Robots,2021,arXiv,http://arxiv.org/abs/2112.05299v1,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
5,arxiv:2107.09822v3,Bayesian Controller Fusion: Leveraging Control Priors in Deep Reinforcement Learning for Robotics,2021,arXiv,http://arxiv.org/abs/2107.09822v3,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:2601.21282v1,WorldBench: Disambiguating Physics for Diagnostic Evaluation of World Models,2026,arXiv,http://arxiv.org/abs/2601.21282v1,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
7,arxiv:2604.16677v1,ReconVLA: An Uncertainty-Guided and Failure-Aware Vision-Language-Action Framework for Robotic Control,2026,arXiv,http://arxiv.org/abs/2604.16677v1,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.61453/jods.v20260103,Benchmarking Robust Machine Learning Models Under Data Imperfections in Real-World Data Science Scenarios,2026,Journal of Data Science,https://doi.org/10.61453/jods.v20260103,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
9,arxiv:2603.11400v1,Deployment-Time Reliability of Learned Robot Policies,2026,arXiv,http://arxiv.org/abs/2603.11400v1,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2309.08052v1,A Bayesian approach to breaking things: efficiently predicting and repairing failure modes via sampling,2023,arXiv,http://arxiv.org/abs/2309.08052v1,Addresses robot world-model reliability or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,World model uncertainty bloat keeps action-critical alternatives explicit until a physical observation collapses them.
