seed,split,task,episode,gap_kind,hidden_present,severity,aleatoric_noise,contact_shift,friction_shift,saturation_shift,sensor_dropout,latency,fixture_shift,oracle_success
0,nominal_noise,peg_insertion_contact_mode,0,latency_hysteresis,0,0.12527,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,1,sensor_dropout,0,0.21304,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,2,contact_mode,0,0.05948,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,3,latent_fixture,0,0.22161,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,4,latent_fixture,0,0.14336,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,5,actuator_saturation,0,0.11757,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,6,contact_mode,0,0.12535,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,7,actuator_saturation,0,0.15585,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,8,sensor_dropout,0,0.11715,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,9,sensor_dropout,0,0.14355,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,10,sensor_dropout,0,0.11672,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,11,sensor_dropout,1,0.17078,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.82104
0,nominal_noise,peg_insertion_contact_mode,12,actuator_saturation,0,0.24470,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,13,latency_hysteresis,0,0.20696,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,14,sensor_dropout,0,0.18605,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,15,sensor_dropout,1,0.07430,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.84034
0,nominal_noise,peg_insertion_contact_mode,16,friction,0,0.22816,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,17,contact_mode,0,0.15737,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,18,actuator_saturation,0,0.22117,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,19,sensor_dropout,1,0.13191,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.82882
0,nominal_noise,peg_insertion_contact_mode,20,latent_fixture,0,0.20920,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
0,nominal_noise,peg_insertion_contact_mode,21,sensor_dropout,0,0.11838,0.08000,0.03000,0.03000,0.02000,0.03000,0.02000,0.02000,0.85520
